SessionID,LatinRow,RoundNumber,SessionStart,KillTimestamp,RoundFPS,SpikeMagnitude,OnAimSpike,OnEnemySpawnSpike,OnMouseSpike,OnReloadSpike,AttributeScalingEnabled,AttributeScaleRadius,RoundIndex,EnemyHealth,MinAngleToPlayer,AngularSizeOnSpawn,DegreeToTargetX,DegreeToTargetY,DegreeToShootX,DegreeToShootY,TimeToTargetEnemy,TimeToHitEnemy,TimeToKillEnemy,TargetMarked,TargetShot,DurationAlive,TimeOnTargetEachEnemy
1,1,1,25:22:23:12:22:44,12:22:50.249,500,225,True,False,False,False,True,1.5,0,-400.00,13.36,4.07,1.40,2.60,4.90,19.20,2.848,4.766,4.766,True,True,4.766,0.659
1,1,1,25:22:23:12:22:44,12:22:53.583,500,225,True,False,False,False,True,1.5,0,-400.00,24.86,4.02,46.70,15.10,46.70,15.20,2.835,3.335,3.335,True,True,2.876,0.455
1,1,1,25:22:23:12:22:44,12:22:55.358,500,225,True,False,False,False,True,1.5,0,-400.00,0.79,4.06,32.40,23.90,32.60,25.00,1.327,1.776,1.776,True,True,1.751,0.199
1,1,1,25:22:23:12:22:44,12:22:57.543,500,225,True,False,False,False,True,1.5,0,-400.00,11.69,4.03,34.60,11.00,38.10,12.80,1.074,2.185,2.185,True,True,2.173,0.538
1,1,1,25:22:23:12:22:44,12:22:59.511,500,225,True,False,False,False,True,1.5,0,-400.00,17.98,4.05,37.80,11.90,37.90,11.90,1.876,1.967,1.967,True,True,1.213,0.077
1,1,1,25:22:23:12:22:44,12:23:04.207,500,225,True,False,False,False,True,1.5,0,-400.00,12.22,4.03,37.20,4.70,113.40,14.30,1.941,4.696,4.696,True,True,4.000,0.257
1,1,1,25:22:23:12:22:44,12:23:06.206,500,225,True,False,False,False,True,1.5,0,-400.00,21.73,4.06,1.80,0.30,8.20,1.00,1.188,2.001,2.001,True,True,1.285,0.178
1,1,1,25:22:23:12:22:44,12:23:10.287,500,225,True,False,False,False,True,1.5,0,-400.00,2.21,4.05,27.30,7.70,64.10,11.20,1.316,4.081,4.081,True,True,3.834,0.589
1,1,1,25:22:23:12:22:44,12:23:11.880,500,225,True,False,False,False,True,1.5,0,-400.00,21.90,4.05,18.20,8.30,23.30,11.80,0.802,1.591,1.591,True,True,1.164,0.183
1,1,1,25:22:23:12:22:44,12:23:15.488,500,225,True,False,False,False,True,1.5,0,-400.00,19.80,4.08,67.50,14.90,99.00,16.40,2.105,3.608,3.608,True,True,2.701,0.345
