SessionID,LatinRow,RoundNumber,SessionStart,KillTimestamp,RoundFPS,SpikeMagnitude,OnAimSpike,OnEnemySpawnSpike,OnMouseSpike,OnReloadSpike,AttributeScalingEnabled,AttributeScaleRadius,EnemyMoveSpeed,PredictableEnemyMovement,RoundIndex,EnemyHealth,MinAngleToPlayer,AngularSizeOnSpawn,DegreeToTargetX,DegreeToTargetY,DegreeToShootX,DegreeToShootY,TimeToTargetEnemy,TimeToHitEnemy,TimeToKillEnemy,TargetMarked,TargetShot,DurationAlive,TimeOnTargetEachEnemy
1,1,1,25:55:06:05:55:03,05:55:07.553,500,1,True,False,False,False,False,1,0.75,False,0,-400.00,10.81,5.86,20.10,7.30,61.20,28.90,0.803,3.096,3.096,True,True,3.096,0.386
1,1,1,25:55:06:05:55:03,05:55:10.265,500,1,True,False,False,False,False,1,0.75,False,0,-400.00,23.45,5.78,21.10,16.70,53.00,32.80,1.417,2.714,2.714,True,True,2.618,0.106
1,1,1,25:55:06:05:55:03,05:55:11.663,500,1,True,False,False,False,False,1,0.75,False,0,-400.00,16.48,5.86,35.50,13.20,38.40,14.20,1.063,1.398,1.398,True,True,1.058,0.118
1,1,1,25:55:06:05:55:03,05:55:13.063,500,1,True,False,False,False,False,1,0.75,False,0,-400.00,21.01,5.88,21.70,2.90,21.90,2.90,1.301,1.401,1.401,True,True,0.853,0.104
1,1,1,25:55:06:05:55:03,05:55:14.241,500,1,True,False,False,False,False,1,0.75,False,0,-400.00,3.29,5.89,43.50,1.30,43.90,1.40,1.085,1.175,1.175,True,True,0.877,0.096
1,1,1,25:55:06:05:55:03,05:55:15.488,500,1,True,False,False,False,False,1,0.75,False,0,-400.00,10.15,5.87,27.40,2.60,27.40,2.80,1.229,1.249,1.249,True,True,0.920,0.024
1,1,1,25:55:06:05:55:03,05:55:18.568,500,1,True,False,False,False,False,1,0.75,False,0,-400.00,16.88,5.89,19.00,3.10,76.50,13.40,1.101,3.080,3.080,True,True,2.507,0.258
1,1,1,25:55:06:05:55:03,05:55:19.962,500,1,True,False,False,False,False,1,0.75,False,0,-400.00,10.24,5.86,23.20,8.10,23.30,8.20,1.363,1.391,1.391,True,True,0.800,0.034
1,1,1,25:55:06:05:55:03,05:55:22.575,500,1,True,False,False,False,False,1,0.75,False,0,-400.00,20.03,5.82,37.80,16.90,49.60,17.80,1.628,2.616,2.616,True,True,1.772,0.042
1,1,1,25:55:06:05:55:03,05:55:23.584,500,1,True,False,False,False,False,1,0.75,False,0,-400.00,19.28,5.84,39.60,4.50,40.70,5.00,0.907,1.009,1.009,True,True,0.956,0.102
1,1,1,25:55:06:05:55:03,05:55:25.674,500,1,True,False,False,False,False,1,0.75,False,0,-400.00,5.63,5.85,75.70,22.90,75.80,23.10,2.049,2.090,2.090,True,True,1.882,0.042
1,1,1,25:55:06:05:55:03,05:55:30.129,500,1,True,False,False,False,False,1,0.75,False,0,-400.00,11.98,5.87,66.20,19.20,104.80,48.50,1.484,4.455,4.455,True,True,3.360,0.313
