SessionID,LatinRow,RoundNumber,SessionStart,KillTimestamp,RoundFPS,SpikeMagnitude,OnAimSpike,OnEnemySpawnSpike,OnMouseSpike,OnReloadSpike,AttributeScalingEnabled,AttributeScaleRadius,RoundIndex,EnemyHealth,MinAngleToPlayer,AngularSizeOnSpawn,DegreeToTargetX,DegreeToTargetY,DegreeToShootX,DegreeToShootY,TimeToTargetEnemy,TimeToHitEnemy,TimeToKillEnemy,TargetMarked,TargetShot,DurationAlive,TimeOnTargetEachEnemy
1,1,1,25:10:26:06:10:16,06:10:18.596,500,225,True,False,False,False,True,1.5,0,-400.00,3.20,4.06,17.60,5.30,18.00,5.30,0.872,1.260,1.260,True,True,1.260,0.236
1,1,1,25:10:26:06:10:16,06:10:20.852,500,225,True,False,False,False,True,1.5,0,-400.00,18.00,4.06,40.90,23.60,41.10,23.70,2.132,2.257,2.257,True,True,1.909,0.129
1,1,1,25:10:26:06:10:16,06:10:23.259,500,225,True,False,False,False,True,1.5,0,-400.00,16.82,4.05,38.00,8.10,77.80,13.60,1.268,2.407,2.407,True,True,2.173,0.201
1,1,1,25:10:26:06:10:16,06:10:24.884,500,225,True,False,False,False,True,1.5,0,-400.00,13.01,4.07,30.40,8.80,30.50,8.90,1.419,1.625,1.625,True,True,1.220,0.210
1,1,1,25:10:26:06:10:16,06:10:27.979,500,225,True,False,False,False,True,1.5,0,-400.00,3.56,4.08,8.70,13.30,9.50,13.60,2.482,3.094,3.094,True,True,1.801,0.407
1,1,1,25:10:26:06:10:16,06:10:29.630,500,225,True,False,False,False,True,1.5,0,-400.00,21.64,4.07,26.90,1.40,28.00,1.50,1.508,1.649,1.649,True,True,1.279,0.146
1,1,1,25:10:26:06:10:16,06:10:31.540,500,225,True,False,False,False,True,1.5,0,-400.00,8.26,4.07,10.30,10.30,10.30,10.30,1.908,1.913,1.913,True,True,0.977,0.008
1,1,1,25:10:26:06:10:16,06:10:33.370,500,225,True,False,False,False,True,1.5,0,-400.00,19.74,4.08,30.00,3.80,30.70,4.00,1.452,1.830,1.830,True,True,1.093,0.203
1,1,1,25:10:26:06:10:16,06:10:34.962,500,225,True,False,False,False,True,1.5,0,-400.00,5.39,4.07,26.70,8.10,26.80,8.80,1.452,1.593,1.593,True,True,1.300,0.144
1,1,1,25:10:26:06:10:16,06:10:37.282,500,225,True,False,False,False,True,1.5,0,-400.00,13.36,4.07,34.60,6.20,35.30,6.20,2.148,2.320,2.320,True,True,1.513,0.175
1,1,1,25:10:26:06:10:16,06:10:39.508,500,225,True,False,False,False,True,1.5,0,-400.00,14.67,4.07,12.60,3.90,13.90,3.90,1.379,2.225,2.225,True,True,1.541,0.540
1,1,1,25:10:26:06:10:16,06:10:41.844,500,225,True,False,False,False,True,1.5,0,-400.00,9.40,4.08,33.00,3.10,36.00,3.70,1.634,2.336,2.336,True,True,1.740,0.261
1,1,1,25:10:26:06:10:16,06:10:43.203,500,225,True,False,False,False,True,1.5,0,-400.00,5.33,3.92,7.80,2.50,7.90,2.50,1.257,1.359,1.359,True,True,0.924,0.105
1,1,1,25:10:26:06:10:16,06:10:45.452,500,225,True,False,False,False,True,1.5,0,-400.00,6.57,3.90,32.80,8.60,33.80,9.10,2.091,2.249,2.249,True,True,1.122,0.162
1,1,1,25:10:26:06:10:16,06:10:47.740,500,225,True,False,False,False,True,1.5,0,-400.00,17.87,4.08,33.20,7.40,33.40,8.20,2.146,2.287,2.287,True,True,1.314,0.145
1,1,1,25:10:26:06:10:16,06:10:49.939,500,225,True,False,False,False,True,1.5,0,-400.00,2.04,4.07,27.40,5.20,28.00,5.30,1.499,2.201,2.201,True,True,1.854,0.538
1,1,1,25:10:26:06:10:16,06:10:51.868,500,225,True,False,False,False,True,1.5,0,-400.00,18.31,4.07,28.80,8.70,29.00,8.70,1.538,1.928,1.928,True,True,1.405,0.256
1,1,1,25:10:26:06:10:16,06:10:53.771,500,225,True,False,False,False,True,1.5,0,-400.00,0.33,4.08,24.40,5.70,28.40,9.40,0.942,1.903,1.903,True,True,1.848,0.283
1,1,1,25:10:26:06:10:16,06:10:55.684,500,225,True,False,False,False,True,1.5,0,-400.00,7.48,4.07,41.70,10.80,41.70,10.80,1.754,1.912,1.912,True,True,1.260,0.161
1,1,1,25:10:26:06:10:16,06:10:57.253,500,225,True,False,False,False,True,1.5,0,-400.00,17.77,4.06,21.80,3.50,22.10,4.40,1.195,1.569,1.569,True,True,1.323,0.191
1,1,1,25:10:26:06:10:16,06:10:59.460,500,225,True,False,False,False,True,1.5,0,-400.00,22.64,4.06,35.40,3.80,36.00,3.90,2.091,2.208,2.208,True,True,1.284,0.120
