SessionID,LatinRow,RoundNumber,SessionStart,KillTimestamp,RoundFPS,SpikeMagnitude,OnAimSpike,OnEnemySpawnSpike,OnMouseSpike,OnReloadSpike,AttributeScalingEnabled,AttributeScaleRadius,RoundIndex,EnemyHealth,MinAngleToPlayer,AngularSizeOnSpawn,DegreeToTargetX,DegreeToTargetY,DegreeToShootX,DegreeToShootY,TimeToTargetEnemy,TimeToHitEnemy,TimeToKillEnemy,TargetMarked,TargetShot,DurationAlive,TimeOnTargetEachEnemy
1,1,1,25:57:26:05:57:30,05:57:36.807,500,225,True,False,False,False,True,1.5,0,-400.00,8.96,4.06,19.30,4.90,32.20,15.00,2.939,4.700,4.700,True,True,4.700,0.527
1,1,1,25:57:26:05:57:30,05:57:38.131,500,225,True,False,False,False,True,1.5,0,-400.00,21.20,4.09,15.20,11.70,16.50,14.20,0.955,1.327,1.327,True,True,1.232,0.316
1,1,1,25:57:26:05:57:30,05:57:41.747,500,225,True,False,False,False,True,1.5,0,-400.00,16.58,4.07,37.50,13.20,38.00,13.50,3.460,3.616,3.616,True,True,3.577,0.159
1,1,1,25:57:26:05:57:30,05:57:43.540,500,225,True,False,False,False,True,1.5,0,-400.00,19.25,4.07,17.70,0.90,21.70,1.90,1.412,1.793,1.793,True,True,0.867,0.098
1,1,1,25:57:26:05:57:30,05:57:44.931,500,225,True,False,False,False,True,1.5,0,-400.00,17.34,4.05,15.60,4.80,16.00,5.00,1.308,1.393,1.393,True,True,1.082,0.088
1,1,1,25:57:26:05:57:30,05:57:46.560,500,225,True,False,False,False,True,1.5,0,-400.00,0.95,4.03,41.30,5.80,42.20,5.90,1.482,1.616,1.616,True,True,0.939,0.148
1,1,1,25:57:26:05:57:30,05:57:48.780,500,225,True,False,False,False,True,1.5,0,-400.00,10.39,4.08,18.40,1.40,18.60,1.50,2.083,2.231,2.231,True,True,0.903,0.119
1,1,1,25:57:26:05:57:30,05:57:51.163,500,225,True,False,False,False,True,1.5,0,-400.00,18.12,4.09,17.00,9.90,21.70,11.90,1.561,2.384,2.384,True,True,1.335,0.234
1,1,1,25:57:26:05:57:30,05:57:53.219,500,225,True,False,False,False,True,1.5,0,-400.00,23.24,4.06,45.80,15.20,46.30,15.30,1.640,2.056,2.056,True,True,1.435,0.419
1,1,1,25:57:26:05:57:30,05:57:54.252,500,225,True,False,False,False,True,1.5,0,-400.00,3.79,4.05,22.90,5.70,23.60,5.80,0.891,1.032,1.032,True,True,0.975,0.145
1,1,1,25:57:26:05:57:30,05:57:55.594,500,225,True,False,False,False,True,1.5,0,-400.00,5.68,4.07,2.90,7.80,3.60,7.80,1.138,1.343,1.343,True,True,0.970,0.208
1,1,1,25:57:26:05:57:30,05:57:57.698,500,225,True,False,False,False,True,1.5,0,-400.00,23.01,4.07,24.30,12.60,25.60,13.30,1.323,2.103,2.103,True,True,1.525,0.784
1,1,1,25:57:26:05:57:30,05:58:10.028,500,225,True,False,False,False,True,1.5,0,-400.00,9.00,4.08,20.20,9.50,208.00,80.10,1.947,12.330,12.330,True,True,11.736,2.285
1,1,1,25:57:26:05:57:30,05:58:11.228,500,225,True,False,False,False,True,1.5,0,-400.00,15.44,4.07,32.10,12.60,33.20,12.60,0.811,1.200,1.200,True,True,1.164,0.392
1,1,1,25:57:26:05:57:30,05:58:13.730,500,225,True,False,False,False,True,1.5,0,-400.00,12.04,3.99,27.70,11.70,32.50,14.40,0.825,2.502,2.502,True,True,2.266,0.961
1,1,1,25:57:26:05:57:30,05:58:17.102,500,225,True,False,False,False,True,1.5,0,100.00,8.73,4.04,17.40,12.70,47.80,22.80,2.276,3.375,3.375,True,False,2.045,0.142
