SessionID,LatinRow,RoundNumber,SessionStart,KillTimestamp,RoundFPS,SpikeMagnitude,OnAimSpike,OnEnemySpawnSpike,OnMouseSpike,OnReloadSpike,AttributeScalingEnabled,AttributeScaleRadius,RoundIndex,EnemyHealth,MinAngleToPlayer,AngularSizeOnSpawn,DegreeToTargetX,DegreeToTargetY,DegreeToShootX,DegreeToShootY,TimeToTargetEnemy,TimeToHitEnemy,TimeToKillEnemy,TargetMarked,TargetShot,DurationAlive,TimeOnTargetEachEnemy
1,1,1,25:12:26:06:12:17,06:12:19.684,500,225,True,False,False,False,True,1.5,0,-400.00,1.25,4.06,0.70,1.90,0.70,2.40,1.005,1.233,1.233,True,True,1.233,0.130
1,1,1,25:12:26:06:12:17,06:12:21.579,500,225,True,False,False,False,True,1.5,0,-400.00,20.42,4.05,3.20,15.80,3.40,16.20,1.707,1.896,1.896,True,True,0.835,0.193
1,1,1,25:12:26:06:12:17,06:12:24.051,500,225,True,False,False,False,True,1.5,0,-400.00,4.46,4.04,27.40,10.20,27.40,10.20,2.282,2.474,2.474,True,True,1.113,0.195
1,1,1,25:12:26:06:12:17,06:12:25.636,500,225,True,False,False,False,True,1.5,0,-400.00,13.27,4.04,32.20,6.00,33.20,6.20,1.402,1.583,1.583,True,True,1.370,0.185
1,1,1,25:12:26:06:12:17,06:12:28.194,500,225,True,False,False,False,True,1.5,0,-400.00,10.33,4.04,23.30,2.30,24.20,2.80,2.403,2.559,2.559,True,True,1.495,0.159
1,1,1,25:12:26:06:12:17,06:12:30.004,500,225,True,False,False,False,True,1.5,0,-400.00,11.17,4.02,36.10,5.00,36.50,5.10,1.653,1.810,1.810,True,True,0.965,0.160
1,1,1,25:12:26:06:12:17,06:12:32.826,500,225,True,False,False,False,True,1.5,0,-400.00,11.69,4.07,14.10,5.80,18.60,12.00,1.633,2.822,2.822,True,True,2.382,0.346
1,1,1,25:12:26:06:12:17,06:12:34.667,500,225,True,False,False,False,True,1.5,0,-400.00,14.61,4.07,21.10,3.20,22.10,3.80,1.731,1.840,1.840,True,True,1.013,0.113
1,1,1,25:12:26:06:12:17,06:12:36.107,500,225,True,False,False,False,True,1.5,0,-400.00,11.09,4.07,2.50,1.10,3.80,2.10,1.331,1.441,1.441,True,True,0.947,0.113
1,1,1,25:12:26:06:12:17,06:12:38.106,500,225,True,False,False,False,True,1.5,0,-400.00,17.44,4.06,23.60,1.90,23.60,1.90,1.995,1.999,1.999,True,True,1.074,0.008
1,1,1,25:12:26:06:12:17,06:12:40.267,500,225,True,False,False,False,True,1.5,0,-400.00,15.56,4.05,25.50,21.00,25.60,21.20,1.986,2.160,2.160,True,True,1.146,0.177
1,1,1,25:12:26:06:12:17,06:12:41.932,500,225,True,False,False,False,True,1.5,0,-400.00,21.53,4.05,39.30,12.00,39.70,12.20,1.523,1.666,1.666,True,True,0.973,0.147
1,1,1,25:12:26:06:12:17,06:12:44.139,500,225,True,False,False,False,True,1.5,0,-400.00,3.90,4.07,41.10,6.90,41.20,6.90,2.072,2.208,2.208,True,True,0.738,0.139
1,1,1,25:12:26:06:12:17,06:12:46.723,500,225,True,False,False,False,True,1.5,0,-400.00,5.88,4.07,26.00,8.30,27.10,8.40,2.129,2.583,2.583,True,True,1.408,0.457
