sessionID,latinRow,currentRoundNumber,roundFPS,spikeMagnitude,onAimSpikeEnabled,onEnemySpawnSpikeEnabled,onMouseSpikeEnabled,onReloadSpikeEnabled,attributeScalingEnabled,indexArray,time,roundTimer,mouseX,mouseY,playerX,playerY,playerZ,playerRot_w,playerRot_x,playerRot_y,playerRot_z,enemyPos_x,enemyPos_y,enemyPos_z,muzzlePos_x,muzzlePos_y,muzzlePos_z,isEnemyDead,distanceToPlayer,mouseMovedX,mouseMovedY,shotsFiredPerEvent,shotsHitPerEvent,shotsMissedPerEvent,durationOfEvent,durationOfEventIncludingSpikes,spikeCountPerEvent,angularDistanceFromEnemyOnStart,targetTimeOnEnemy
1,1,1,500,1,True,False,False,False,False,0,8/18/2025 10:21:25 AM,0.375906,0,0,1.45,0.4949999,-3.7,1,0,0,0,1.494393,1.2,3.505607,1.450001,0.5060999,-3.1614,False,7.24015,0,0,0,0,0,0.3759078,0.3759078,1,35.05337,0
1,1,1,500,1,True,False,False,False,False,0,8/18/2025 10:21:26 AM,1.717035,0,0,1.450173,0.4949999,-3.7,0.9999995,0,-0.001078434,0,1.134529,3.343105,3.433992,1.449011,0.5060999,-3.161401,False,7.687989,0,0,0,0,0,1.341129,1.341129,1,15.02842,0.3453553
1,1,1,500,1,True,False,False,False,False,0,8/18/2025 10:21:28 AM,3.31813,0,0,1.450173,0.4949999,-3.7,0.9999995,0,-0.00107847,0,0.5368288,1.111197,1.762991,1.426322,1.922293,-2.797053,True,5.572986,0,0,2,1,1,1.607944,1.607944,1,21.44331,0.5285431
1,1,1,500,1,True,False,False,False,False,0,8/18/2025 10:21:29 AM,3.965446,0.7,-0.1,1.450173,0.4949999,-3.7,0.9999995,0,-0.00107847,0,-1.724683,1.2,2.538613,1.449011,0.5060999,-3.161401,False,7.035412,0.7,0.1,0,0,0,0.6404634,0.6404634,0,21.44331,0
1,1,1,500,1,True,False,False,False,False,0,8/18/2025 10:21:30 AM,5.11241,0,0,1.450173,0.4949999,-3.7,0.9999994,0,-0.001078474,0,-3.302473,2.940083,1.152504,0.9857962,2.148466,-3.024108,True,7.218924,0,0,1,1,0,1.155566,1.155566,1,46.73042,0.1452791
1,1,1,500,1,True,False,False,False,False,0,8/18/2025 10:21:31 AM,6.039968,0.3,0.7,1.450173,0.4949999,-3.7,0.9999994,0,-0.001078476,0,4.252382,1.2,2.714641,1.449011,0.5060999,-3.161401,False,7.035412,0.3,0.7,0,0,0,0.9189559,0.9189559,0,46.73042,0
1,1,1,500,1,True,False,False,False,False,0,8/18/2025 10:21:32 AM,6.978548,0,0,1.450173,0.4949999,-3.7,0.9999995,0,-0.001078476,0,-1.514558,0.6205702,2.558154,1.192898,1.871835,-2.822062,True,6.92603,0,0,1,1,0,0.945295,0.945295,0,10.17282,0.1083502
1,1,1,500,1,True,False,False,False,False,0,8/18/2025 10:21:33 AM,8.061356,0,0,1.450173,0.4949999,-3.7,0.9999994,0,-0.001078476,0,3.175716,1.2,3.083988,1.449011,0.5060999,-3.161401,False,7.035412,0,0,0,0,0,1.076107,1.076107,0,10.17282,0
1,1,1,500,1,True,False,False,False,False,0,8/18/2025 10:21:34 AM,8.967768,0,0,1.450173,0.4949999,-3.7,0.9999994,0,-0.001078476,0,1.821549,0.8155217,3.309538,1.630684,1.892154,-2.806107,True,7.026683,0,0,1,1,0,0.9131212,0.9131212,1,42.27865,0.198506
1,1,1,500,1,True,False,False,False,False,0,8/18/2025 10:21:34 AM,9.572165,0,0,1.450173,0.4949999,-3.7,0.9999994,0,-0.001078476,0,-0.9257758,1.2,2.884441,1.449011,0.5060999,-3.161401,False,7.035412,0,0,0,0,0,0.5977043,0.5977043,0,21.88816,0
