sessionID,latinRow,currentRoundNumber,roundFPS,spikeMagnitude,onAimSpikeEnabled,onEnemySpawnSpikeEnabled,onMouseSpikeEnabled,onReloadSpikeEnabled,attributeScalingEnabled,attributeScaleRadius,enemyMoveSpeed,predictableEnemyMovement,indexArray,roundTimer,time,mouseX,mouseY,playerX,playerY,playerZ,playerRot_w,playerRot_x,playerRot_y,playerRot_z,enemyPos_x,enemyPos_y,enemyPos_z,isHit,currentAccuracy,currentScore,missAngle,distanceToPlayer,currentLocalRadius,currentWorldRadius,neededLocalRadius,neededWorldRadius,extraRadiusWorld,currentMouseSpeed,avgMouseSpeed,isADS,enemyInView,timeTillLastKill,validMiss,isFirstShotAfterSpike,shotCountAfterSpike,postSpikeFirstShotHits,postSpikeFirstShotMisses,postSpikeFirstShotAccuracy,elapsedTimeFromLastSpike, elapsedTimeSinceLastEventIncludingSpike, elapsedTimeSinceLastEventExcludingSpike,horizontalMissAngle,verticalMissAngle,isEnemyInFront
1,1,1,500,1,True,False,False,False,False,1,0.75,False,0,1.991531,11/6/2025 5:52:56 AM,0,0,1.438736,0.4949999,-5.6991,0.9967998,0,0.07993978,0,5.645821,0.6046769,-0.04858589,False,0,-5,0.1001903,6.055211,0.5,0.105,0.5513847,0.1157908,0.01079078,0,0,False,True,3.357797,True,True,1,0,1,0,0.2538088,0.9522299,0.9522299,-1.076837,-1.076837,True
1,1,1,500,1,True,False,False,False,False,1,0.75,False,0,2.480137,11/6/2025 5:52:56 AM,0,0,1.438736,0.4949999,-5.6991,0.9967998,0,0.07993978,0,3.413675,2.453368,0.9247484,False,0,-10,24.8851,6.141093,0.5,0.105,14.40943,3.02598,2.92098,0,0,False,True,3.84639,True,False,2,0,1,0,0.7424018,0.1161961,0.1161961,-25.84832,-25.84832,True
1,1,1,500,1,True,False,False,False,False,1,0.75,False,0,3.503407,11/6/2025 5:52:57 AM,0,0,1.438736,0.4949999,-5.6991,0.9967998,0,0.07993978,0,2.95779,2.474496,1.043919,False,0,-15,0.451264,6.072422,0.5,0.105,0.7318589,0.1536904,0.04869039,0,0,False,True,4.869607,True,True,1,0,2,0,0.7403812,1.13941,1.13941,1.425189,-1.425189,True
1,1,1,500,1,True,False,False,False,False,1,0.75,False,0,4.528458,11/6/2025 5:52:58 AM,0,0,1.438736,0.4949999,-5.6991,0.9967998,0,0.07993978,0,6.085525,1.083595,-0.9369407,True,0,85,0,5.658968,0.5,0.105,0.3473133,0.07293579,0,0,0,False,True,0,True,True,1,1,2,0.3333333,0.4222949,0,0,0.7249676,0.7249676,True
1,1,1,500,1,True,False,False,False,False,1,0.75,False,0,5.720974,11/6/2025 5:53:00 AM,0,0,1.438736,0.4949999,-5.6991,0.9967997,0,0.07993984,0,6.744842,1.970213,-1.32499,False,0.2,80,0.4229254,5.965396,0.5,0.105,0.7135425,0.149844,0.04484393,0,0,False,True,1.192529,True,True,1,1,3,0.25,0.4889508,1.192529,1.192529,-1.414024,1.414024,True
1,1,1,500,1,True,False,False,False,False,1,0.75,False,0,6.464577,11/6/2025 5:53:00 AM,0,0,1.438736,0.4949999,-5.6991,0.9967998,0,0.07993991,0,3.194163,2.438797,1.105274,False,0.1666667,75,34.77272,6.381315,0.5,0.105,22.19492,4.660935,4.555935,0,0,False,True,1.93615,True,False,2,1,3,0.25,1.232572,0.1489334,0.1489334,-35.70026,-35.70026,True
1,1,1,500,1,True,False,False,False,False,1,0.75,False,0,7.399342,11/6/2025 5:53:01 AM,0,0,1.438736,0.4949999,-5.6991,0.9967998,0,0.07993991,0,2.691264,2.416167,1.215542,True,0.1428571,175,0,6.176008,0.5,0.105,0.2571419,0.05399981,0,0,0,False,True,0,True,True,1,2,3,0.4,0.6615407,0,0,0.4925778,-0.4925778,True
1,1,1,500,1,True,False,False,False,False,1,0.75,False,0,9.40826,11/6/2025 5:53:03 AM,0,0,1.438736,0.4949999,-5.6991,0.9967998,0,0.07993991,0,5.174366,2.863199,0.4631124,False,0.25,170,32.49606,6.462451,0.5,0.105,20.63063,4.332434,4.227434,0,0,False,True,2.008862,True,True,1,2,4,0.3333333,0.5253904,0.1076989,0.1076989,33.41214,-33.41214,True
1,1,1,500,1,True,False,False,False,False,1,0.75,False,0,10.38332,11/6/2025 5:53:04 AM,0,0,1.438736,0.4949999,-5.6991,0.9967998,0,0.07993991,0,4.508301,2.888177,0.8205266,True,0.2222222,270,0,6.461267,0.5,0.105,0.1538176,0.03230171,0,0,0,False,True,0,True,True,1,3,4,0.4285714,0.2108126,0,0,-0.2818553,0.2818553,True
1,1,1,500,1,True,False,False,False,False,1,0.75,False,0,11.62367,11/6/2025 5:53:05 AM,0,0,1.438736,0.4949999,-5.6991,0.9967996,0,0.07994012,0,8.339364,2.25054,-4.639744,False,0.3,265,29.6109,6.134345,0.5,0.105,17.55375,3.686287,3.581287,0,0,False,True,1.240355,True,True,1,3,5,0.375,0.5790499,0.0308042,0.0308042,30.57516,-30.57516,True
